doc_id,prompt_version,model,governing_law,notice_period_days,change_of_control,parse_status,latency_s,input_tokens,output_tokens,input_chars,orig_chars,n_windows,raw_response
ENTERTAINMENTGAMINGASIAINC_02_15_2005-EX-10.5-DISTRIBUTOR AGREEMENT,v2,lite,"Ontario, Canada",90,True,ok,0.6,3984,39,17313,44702,7,"{
  ""governing_law"": ""Ontario, Canada"",
  ""notice_period_days"": 90,
  ""change_of_control"": true
}"
"VAPOTHERM, INC. - Manufacturing and Supply Agreement",v2,lite,New York,,True,ok,50.97,7862,36,33044,75632,12,"{
  ""governing_law"": ""New York"",
  ""notice_period_days"": null,
  ""change_of_control"": true
}"
AMERICASSHOPPINGMALLINC_12_10_1999-EX-10.2-SITE DEVELOPMENT AND HOSTING AGREEMENT,v2,lite,New York,90,False,ok,5.21,3093,38,14197,19351,6,"{
  ""governing_law"": ""New York"",
  ""notice_period_days"": 90,
  ""change_of_control"": false
}"
RaeSystemsInc_20001114_10-Q_EX-10.57_2631790_EX-10.57_Co-Branding Agreement,v2,lite,California,60,True,ok,1.01,3808,37,14299,43179,5,"{
  ""governing_law"": ""California"",
  ""notice_period_days"": 60,
  ""change_of_control"": true
}"
VARIABLESEPARATEACCOUNT_04_30_2014-EX-13.C-UNCONDITIONAL CAPITAL MAINTENANCE AGREEMENT,v2,lite,New York,30,True,ok,1.22,2310,38,9258,15202,4,"{
  ""governing_law"": ""New York"",
  ""notice_period_days"": 30,
  ""change_of_control"": true
}"
CHAPARRALRESOURCESINC_03_30_2000-EX-10.66-TRANSPORTATION CONTRACT,v2,lite,Kazakhstan,65,False,ok,0.54,2694,39,11434,26830,5,"{
  ""governing_law"": ""Kazakhstan"",
  ""notice_period_days"": 65,
  ""change_of_control"": false
}"
NATIONALPROCESSINGINC_07_18_1996-EX-10.4-SPONSORSHIP AGREEMENT,v2,lite,Kentucky,180,False,ok,1.95,2877,38,14224,32860,6,"{
  ""governing_law"": ""Kentucky"",
  ""notice_period_days"": 180,
  ""change_of_control"": false
}"
AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT,v2,lite,Nevada,,False,ok,50.6,1939,36,7961,23999,3,"{
  ""governing_law"": ""Nevada"",
  ""notice_period_days"": null,
  ""change_of_control"": false
}"
"BELLRINGBRANDS,INC_02_07_2020-EX-10.18-MASTER SUPPLY AGREEMENT",v2,lite,Delaware,360,True,ok,14.95,4464,39,20800,37876,10,"{
  ""governing_law"": ""Delaware"",
  ""notice_period_days"": 360,
  ""change_of_control"": true
}"
CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement,v2,lite,Nevada,30,False,ok,1.62,4283,38,17796,33825,8,"{
  ""governing_law"": ""Nevada"",
  ""notice_period_days"": 30,
  ""change_of_control"": false
}"
PenntexMidstreamPartnersLp_20150416_S-1A_EX-10.4_9042833_EX-10.4_Transportation Agreement,v2,lite,Texas,30,True,ok,0.89,3334,37,14243,52008,5,"{
  ""governing_law"": ""Texas"",
  ""notice_period_days"": 30,
  ""change_of_control"": true
}"
"IPAYMENT,INC_05_14_2007-EX-10.1-SPONSORSHIP AGREEMENT",v2,lite,New York,180,True,ok,2.86,8435,39,38945,96662,16,"{
  ""governing_law"": ""New York"",
  ""notice_period_days"": 180,
  ""change_of_control"": true
}"
TRIZETTOGROUPINC_08_18_1999-EX-10.17-TECHNICAL INFRASTRUCTURE MAINTENANCE AGREEMENT,v2,lite,Indiana,30,False,ok,1.73,2489,37,11458,17786,5,"{
  ""governing_law"": ""Indiana"",
  ""notice_period_days"": 30,
  ""change_of_control"": false
}"
RangeResourcesLouisianaInc_20150417_8-K_EX-10.5_9045501_EX-10.5_Transportation Agreement,v2,lite,Texas,30,False,ok,39.59,4737,37,20612,100284,9,"{
  ""governing_law"": ""Texas"",
  ""notice_period_days"": 30,
  ""change_of_control"": false
}"
"Zounds Hearing, Inc. - MANUFACTURING DESIGN MARKETING AGREEMENT",v2,lite,Arizona,60,True,ok,2.79,3594,37,15681,47001,7,"{
  ""governing_law"": ""Arizona"",
  ""notice_period_days"": 60,
  ""change_of_control"": true
}"
GpaqAcquisitionHoldingsInc_20200123_S-4A_EX-10.6_11951677_EX-10.6_License Agreement,v2,lite,Ohio,180,True,ok,13.05,5826,38,25119,45234,9,"{
  ""governing_law"": ""Ohio"",
  ""notice_period_days"": 180,
  ""change_of_control"": true
}"
"PACIRA PHARMACEUTICALS, INC. - A_R STRATEGIC LICENSING, DISTRIBUTION AND MARKETING AGREEMENT ",v2,lite,New York,,True,ok,1.3,8810,36,39027,145168,16,"{
  ""governing_law"": ""New York"",
  ""notice_period_days"": null,
  ""change_of_control"": true
}"
OFGBANCORP_03_28_2007-EX-10.23-OUTSOURCING AGREEMENT,v2,lite,New York,180,True,ok,2.0,8146,39,39177,159336,16,"{
  ""governing_law"": ""New York"",
  ""notice_period_days"": 180,
  ""change_of_control"": true
}"
"FTENETWORKS,INC_02_18_2016-EX-99.4-STRATEGIC ALLIANCE AGREEMENT",v2,lite,Texas,30,False,ok,1.63,3222,37,13950,37829,6,"{
  ""governing_law"": ""Texas"",
  ""notice_period_days"": 30,
  ""change_of_control"": false
}"
WaterNowInc_20191120_10-Q_EX-10.12_11900227_EX-10.12_Distributor Agreement,v2,lite,Texas,120,True,ok,39.0,4566,38,19512,48412,7,"{
  ""governing_law"": ""Texas"",
  ""notice_period_days"": 120,
  ""change_of_control"": true
}"
FuseMedicalInc_20190321_10-K_EX-10.43_11575454_EX-10.43_Distributor Agreement,v2,lite,Ohio,360,False,ok,3.57,3594,38,13885,32502,6,"{
  ""governing_law"": ""Ohio"",
  ""notice_period_days"": 360,
  ""change_of_control"": false
}"
PaperexchangeComInc_20000322_S-1A_EX-10.4_5202103_EX-10.4_Co-Branding Agreement,v2,lite,Pennsylvania,30,False,ok,12.84,3644,37,16452,92875,7,"{
  ""governing_law"": ""Pennsylvania"",
  ""notice_period_days"": 30,
  ""change_of_control"": false
}"
"SPIENERGYCO,LTD_03_09_2011-EX-99.5-OPERATIONS AND MAINTENANCE AGREEMENT",v2,lite,California,30,False,ok,0.83,4002,37,17079,54160,6,"{
  ""governing_law"": ""California"",
  ""notice_period_days"": 30,
  ""change_of_control"": false
}"
