doc_id,prompt_version,model,governing_law,notice_period_days,change_of_control,parse_status,latency_s,input_tokens,output_tokens,input_chars,orig_chars,n_windows,raw_response
AMERICASSHOPPINGMALLINC_12_10_1999-EX-10.2-SITE DEVELOPMENT AND HOSTING AGREEMENT,v1,lite,New York,90,,ok,0.6,1915,38,9106,19351,4,"{
  ""governing_law"": ""New York"",
  ""notice_period_days"": 90,
  ""change_of_control"": null
}"
RaeSystemsInc_20001114_10-Q_EX-10.57_2631790_EX-10.57_Co-Branding Agreement,v1,lite,California,60,True,ok,3.27,1858,37,7265,43179,2,"{
  ""governing_law"": ""California"",
  ""notice_period_days"": 60,
  ""change_of_control"": true
}"
VARIABLESEPARATEACCOUNT_04_30_2014-EX-13.C-UNCONDITIONAL CAPITAL MAINTENANCE AGREEMENT,v1,lite,New York,30,True,ok,0.71,1251,38,5220,15202,3,"{
  ""governing_law"": ""New York"",
  ""notice_period_days"": 30,
  ""change_of_control"": true
}"
CHAPARRALRESOURCESINC_03_30_2000-EX-10.66-TRANSPORTATION CONTRACT,v1,lite,Republic of Kazakhstan,65,,ok,1.84,1445,39,6315,26830,3,"{
  ""governing_law"": ""Republic of Kazakhstan"",
  ""notice_period_days"": 65,
  ""change_of_control"": null
}"
NATIONALPROCESSINGINC_07_18_1996-EX-10.4-SPONSORSHIP AGREEMENT,v1,lite,Kentucky,180,,ok,0.61,1624,38,8178,32860,3,"{
  ""governing_law"": ""Kentucky"",
  ""notice_period_days"": 180,
  ""change_of_control"": null
}"
AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT,v1,lite,Nevada,,,ok,53.86,629,36,2948,23999,1,"{
  ""governing_law"": ""Nevada"",
  ""notice_period_days"": null,
  ""change_of_control"": null
}"
"BELLRINGBRANDS,INC_02_07_2020-EX-10.18-MASTER SUPPLY AGREEMENT",v1,lite,Delaware,365,False,ok,0.71,2458,39,11854,37876,5,"{
  ""governing_law"": ""Delaware"",
  ""notice_period_days"": 365,
  ""change_of_control"": false
}"
CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement,v1,lite,Nevada,30,,ok,1.61,2486,38,11023,33825,4,"{
  ""governing_law"": ""Nevada"",
  ""notice_period_days"": 30,
  ""change_of_control"": null
}"
PenntexMidstreamPartnersLp_20150416_S-1A_EX-10.4_9042833_EX-10.4_Transportation Agreement,v1,lite,Texas,30,,ok,1.95,1782,37,8272,52008,3,"{
  ""governing_law"": ""Texas"",
  ""notice_period_days"": 30,
  ""change_of_control"": null
}"
"IPAYMENT,INC_05_14_2007-EX-10.1-SPONSORSHIP AGREEMENT",v1,lite,,180,True,ok,0.59,6282,37,29537,96662,10,"{
  ""governing_law"": null,
  ""notice_period_days"": 180,
  ""change_of_control"": true
}"
TRIZETTOGROUPINC_08_18_1999-EX-10.17-TECHNICAL INFRASTRUCTURE MAINTENANCE AGREEMENT,v1,lite,Indiana,30,,ok,2.39,1226,37,5783,17786,3,"{
  ""governing_law"": ""Indiana"",
  ""notice_period_days"": 30,
  ""change_of_control"": null
}"
RangeResourcesLouisianaInc_20150417_8-K_EX-10.5_9045501_EX-10.5_Transportation Agreement,v1,lite,Texas,30,False,ok,53.16,3623,37,16605,100284,8,"{
  ""governing_law"": ""Texas"",
  ""notice_period_days"": 30,
  ""change_of_control"": false
}"
"Zounds Hearing, Inc. - MANUFACTURING DESIGN MARKETING AGREEMENT",v1,lite,Arizona,60,True,ok,0.71,2107,37,9412,47001,4,"{
  ""governing_law"": ""Arizona"",
  ""notice_period_days"": 60,
  ""change_of_control"": true
}"
GpaqAcquisitionHoldingsInc_20200123_S-4A_EX-10.6_11951677_EX-10.6_License Agreement,v1,lite,Ohio,180,True,ok,2.84,4507,38,20131,45234,6,"{
  ""governing_law"": ""Ohio"",
  ""notice_period_days"": 180,
  ""change_of_control"": true
}"
"PACIRA PHARMACEUTICALS, INC. - A_R STRATEGIC LICENSING, DISTRIBUTION AND MARKETING AGREEMENT ",v1,lite,,180,True,ok,2.53,6243,37,27976,145168,10,"{
  ""governing_law"": null,
  ""notice_period_days"": 180,
  ""change_of_control"": true
}"
OFGBANCORP_03_28_2007-EX-10.23-OUTSOURCING AGREEMENT,v1,lite,,180,True,ok,0.79,5482,37,27061,159336,9,"{
  ""governing_law"": null,
  ""notice_period_days"": 180,
  ""change_of_control"": true
}"
"FTENETWORKS,INC_02_18_2016-EX-99.4-STRATEGIC ALLIANCE AGREEMENT",v1,lite,Texas,30,,ok,1.42,1715,37,7658,37829,3,"{
  ""governing_law"": ""Texas"",
  ""notice_period_days"": 30,
  ""change_of_control"": null
}"
WaterNowInc_20191120_10-Q_EX-10.12_11900227_EX-10.12_Distributor Agreement,v1,lite,Texas,120,True,ok,51.8,3094,38,13823,48412,4,"{
  ""governing_law"": ""Texas"",
  ""notice_period_days"": 120,
  ""change_of_control"": true
}"
FuseMedicalInc_20190321_10-K_EX-10.43_11575454_EX-10.43_Distributor Agreement,v1,lite,Ohio,,False,ok,7.87,1916,35,8012,32502,4,"{
  ""governing_law"": ""Ohio"",
  ""notice_period_days"": null,
  ""change_of_control"": false
}"
PaperexchangeComInc_20000322_S-1A_EX-10.4_5202103_EX-10.4_Co-Branding Agreement,v1,lite,Pennsylvania,30,False,ok,0.83,2514,37,10973,92875,5,"{
  ""governing_law"": ""Pennsylvania"",
  ""notice_period_days"": 30,
  ""change_of_control"": false
}"
"SPIENERGYCO,LTD_03_09_2011-EX-99.5-OPERATIONS AND MAINTENANCE AGREEMENT",v1,lite,California,30,False,ok,0.68,2774,37,13072,54160,5,"{
  ""governing_law"": ""California"",
  ""notice_period_days"": 30,
  ""change_of_control"": false
}"
